"Product Promotion","Promotion Produit"
"Set a discount promotion for this product. Supports percentage or fixed amount discounts.","Définir une promotion de réduction pour ce produit. Supporte les réductions en pourcentage ou en montant fixe."
"Enable Promotion","Activer la Promotion"
"Discount Type","Type de Réduction"
"Percentage (%)","Pourcentage (%)"
"Fixed Amount","Montant Fixe"
"Discount Value","Valeur de la Réduction"
"Promotion Label","Étiquette de Promotion"
"optional, shown on storefront badge","optionnel, affiché sur l'étiquette de la boutique"
"Start Date","Date de Début"
"End Date","Date de Fin"
"optional","optionnel"
"Price Preview","Aperçu du Prix"
"Original:","Original :"
"Final:","Final :"
"You save","Vous économisez"
"Save Promotion","Enregistrer la Promotion"
"Remove Promotion","Supprimer la Promotion"
"Saving...","Enregistrement..."
"SAVE","ÉCONOMIE"
"Offer ends","L'offre se termine le"
"In Stock","En Stock"
"Out of Stock","Rupture de Stock"
"Sold Out","Épuisé"
