Tentez votre chance, Tentez votre chance
Tournez la roue et gagnez une remise, Tournez la roue et gagnez une remise
Votre email, Votre email
Votre téléphone, Votre téléphone
Tourner la roue, Tourner la roue
Félicitations !, Félicitations !
Votre code promo, Votre code promo
Copier le code, Copier le code
Essayez encore, Essayez encore
Fermer, Fermer
Mon parrainage, Mon parrainage
Invitez vos amis et gagnez des récompenses, Invitez vos amis et gagnez des récompenses
Votre lien de parrainage, Votre lien de parrainage
Copier le lien, Copier le lien
Partager sur WhatsApp, Partager sur WhatsApp
Amis invités, Amis invités
Parrainages validés, Parrainages validés
Récompenses disponibles, Récompenses disponibles
Récompenses utilisées, Récompenses utilisées
En attente, En attente
