"Product name is required","Le nom du produit est requis"
"SKU must be unique","Le SKU doit être unique"
"Tax","Taxe"
"Save","Enregistrer"
"Cancel","Annuler"
"Delete","Supprimer"
"Edit","Modifier"
"Search","Rechercher"
"Status","Statut"
"Enabled","Activé"
"Disabled","Désactivé"
"Active","Actif"
"Inactive","Inactif"
"Yes","Oui"
"No","Non"
"Name","Nom"
"Price","Prix"
"Loading...","Chargement..."
"Are you sure?","Êtes-vous sûr ?"
"Product updated successfully","Produit mis à jour avec succès"
"Product created successfully","Produit créé avec succès"
"Something went wrong! Please try again.","Une erreur s'est produite ! Veuillez réessayer."
"No data available","Aucune donnée disponible"
"Saved successfully!","Enregistré avec succès !"
"Value must be a whole number","La valeur doit être un nombre entier"
"Please enter a valid email address","Veuillez entrer une adresse email valide"
"Please enter a valid URL","Veuillez entrer une URL valide"
"Email is required","L'email est requis"
"Password is required","Le mot de passe est requis"
"Processing Payment...","Traitement du paiement..."
"Pay with PayPal","Payer avec PayPal"
"Pay with Stripe","Payer avec Stripe"
"Redirecting to PayPal...","Redirection vers PayPal..."
"You will be redirected to PayPal for payment processing.","Vous serez redirigé vers PayPal pour le traitement du paiement."
"Stripe is not loaded. Please try again.","Stripe n'est pas chargé. Veuillez réessayer."
"Can not process payment. Please try again later.","Impossible de traiter le paiement. Veuillez réessayer plus tard."
"Some error occurred. Please try again later.","Une erreur s'est produite. Veuillez réessayer plus tard."
